Bill Number,Roll Call Number,Year,Congress Number,Republican Yes,Republican No,Democratic Yes,Democratic No,Other Yes,Other No,Republican Support,Democratic Support,Bill Title
H R 4611,319,2021,117,204,2,208,0,0,0,strong,strong,DHS Software Supply Chain Risk Management Act of 2021
H R 654,321,2021,117,179,29,216,1,0,0,strong,strong,Drug-Free Communities Pandemic Relief Act
H R 3635,322,2021,117,184,22,213,0,0,0,strong,strong,Strengthening America's Strategic National Stockpile Act of 2021
H R 3919,323,2021,117,208,1,212,3,0,0,strong,strong,Secure Equipment Act of 2021
H R 4032,324,2021,117,193,17,217,0,0,0,strong,strong,Open RAN Outreach Act
H R 4067,325,2021,117,180,29,217,0,0,0,strong,strong,"Communications Security, Reliability, and Interoperability Council Act"
H R 4028,326,2021,117,199,10,214,4,0,0,strong,strong,Information and Communication Technology Strategy Act
H R 4111,332,2021,117,175,29,216,0,0,0,strong,strong,Sovereign Debt Contract Capacity Act
H R 2989,333,2021,117,184,19,216,0,0,0,strong,strong,Financial Transparency Act of 2021
H R 2119,336,2021,117,9,200,219,0,0,0,little,strong,Family Violence Prevention and Services Improvement Act of 2021
S 1502,337,2021,117,209,0,215,3,0,0,strong,strong,COPS Counseling Act
S 1511,338,2021,117,203,3,217,0,0,0,strong,strong,Protecting America's First Responders Act of 2021
H R 5763,339,2021,117,145,55,213,4,0,0,strong,strong,Further Surface Transportation Extension Act of 2021
H R 1619,340,2021,117,149,54,212,1,0,0,strong,strong,Catawba Indian Nation Lands Act
H R 2758,341,2021,117,144,59,213,0,0,0,strong,strong,Lumbee Recognition Act
H R 5221,343,2021,117,190,17,216,0,0,0,strong,strong,Urban Indian Health Confer Act
H R 3616,344,2021,117,182,23,217,0,0,0,strong,strong,Bear River National Heritage Area Study Act
S 108,345,2021,117,207,2,218,0,0,0,strong,strong,"A bill to authorize the Seminole Tribe of Florida to lease or transfer certain land, and for other purposes."
H R 2088,347,2021,117,193,12,214,4,0,0,strong,strong,Eastern Band of Cherokee Historic Lands Reacquisition Act
H R 3469,348,2021,117,201,2,217,0,0,0,strong,strong,Veteran Entrepreneurship Training Act of 2021
H R 4256,349,2021,117,195,10,218,0,0,0,strong,strong,Investing in Main Street Act of 2021
H R 4481,351,2021,117,194,9,213,0,0,0,strong,strong,Small Business 7(a) Loan Agent Transparency Act
H R 4515,353,2021,117,193,14,216,0,0,0,strong,strong,Small Business Development Center Cyber Training Act of 2021
S 1064,354,2021,117,202,6,185,29,0,0,strong,strong,RENACER Act
H R 3992,358,2021,117,7,200,217,0,0,0,little,strong,POJA Act of 2021
H R 1339,360,2021,117,166,40,217,1,0,0,strong,strong,Advanced Air Mobility Coordination and Leadership Act
H R 3193,361,2021,117,196,13,214,3,0,0,strong,strong,E-BRIDGE Act
H R 3709,362,2021,117,195,11,207,0,0,0,strong,strong,Preliminary Damage Assessment Improvement Act of 2021
H R 2220,363,2021,117,209,0,207,4,0,0,strong,strong,"To amend title 40, United States Code, to modify the treatment of certain bargain-price options to purchase at less than fair market value, and for other purposes."
H R 390,364,2021,117,205,2,217,0,0,0,strong,strong,"To redesignate the Federal building located at 167 North Main Street in Memphis, Tennessee as the ""Odell Horton Federal Building""."
H R 4679,365,2021,117,193,14,216,0,0,0,strong,strong,"To designate the Federal building located at 1200 New Jersey Avenue Southeast in Washington, DC, as the ""Norman Yoshio Mineta Federal Building""."
H R 4660,366,2021,117,201,4,215,0,0,0,strong,strong,"To designate the Federal Building and United States Courthouse located at 1125 Chapline Street in Wheeling, West Virginia, as the ""Frederick P. Stamp, Jr. Federal Building and United States Courthouse""."
H R 3684,370,2021,117,8,205,220,0,0,0,little,strong,Infrastructure Investment and Jobs Act
S 1095,373,2021,117,207,0,217,0,0,0,strong,strong,Colonel John M. McHugh Tuition Fairness for Survivors Act of 2021
S 796,374,2021,117,199,9,215,0,0,0,strong,strong,Protecting Moms Who Served Act of 2021
H R 4233,375,2021,117,208,0,212,4,0,0,strong,strong,Student Veterans Counseling Centers Eligibility Act
H R 147,376,2021,117,210,0,217,0,0,0,strong,strong,BRAVE Act
H R 3730,380,2021,117,203,4,217,0,0,0,strong,strong,"To amend title 38, United States Code, to establish in the Department of Veterans Affairs an Advisory Committee on United States Outlying Areas and Freely Associated States, and for other purposes."
H R 5574,381,2021,117,152,49,217,0,0,0,strong,strong,TRANSLATE ACT
H R 4026,387,2021,117,188,23,211,5,0,0,strong,strong,Social Determinants of Health Data Analysis Act of 2021
H R 550,388,2021,117,80,130,214,0,0,0,moderate,strong,Immunization Infrastructure Modernization Act of 2021
H R 2685,389,2021,117,191,19,213,0,0,0,strong,strong,Understanding Cybersecurity of Mobile Networks Act
H R 4045,390,2021,117,179,27,215,0,0,0,strong,strong,FUTURE Networks Act
H R 4055,391,2021,117,194,17,214,0,0,0,strong,strong,American Cybersecurity Literacy Act
H R 5720,392,2021,117,206,4,216,0,0,0,strong,strong,Courthouse Ethics and Transparency Act
H R 4352,393,2021,117,90,120,212,7,0,0,moderate,strong,"To amend the Act of June 18, 1934, to reaffirm the authority of the Secretary of the Interior to take land into trust for Indian Tribes, and for other purposes."
H R 6119,400,2021,117,0,209,217,0,0,0,none,strong,Further Extending Government Funding Act
S 610,404,2021,117,1,212,221,0,0,0,little,strong,Protecting Medicare and American Farmers from Sequester Cuts Act
S 1605,405,2021,117,194,19,169,51,0,0,strong,strong,National Defense Authorization Act for Fiscal Year 2022
H R 4996,406,2021,117,152,58,212,2,0,0,strong,strong,Ocean Shipping Reform Act of 2021
H R 4616,407,2021,117,201,9,214,0,0,0,strong,strong,Adjustable Interest Rate (LIBOR) Act of 2021
H R 5290,408,2021,117,203,9,215,0,0,0,strong,strong,To extend authorization for livestock mandatory reporting.
H R 4489,410,2021,117,170,42,215,0,0,0,strong,strong,National Forest Restoration and Remediation Act
H R 5608,411,2021,117,176,33,217,0,0,0,strong,strong,Chronic Wasting Disease Research and Management Act
H R 5487,416,2021,117,192,18,216,0,0,0,strong,strong,SHINE for Autumn Act of 2021
H R 5561,417,2021,117,193,17,217,0,0,0,strong,strong,Early Hearing Detection and Intervention Act of 2021
H R 5551,418,2021,117,194,15,211,5,0,0,strong,strong,Improving the Health of Children Act
H R 1667,419,2021,117,175,36,217,0,0,0,strong,strong,Dr. Lorna Breen Health Care Provider Protection Act
H R 4555,420,2021,117,153,58,216,0,0,0,strong,strong,Oral Health Literacy and Awareness Act of 2021
H R 2355,422,2021,117,196,15,214,0,0,0,strong,strong,Opioid Prescription Verification Act of 2021
H R 2364,423,2021,117,196,14,215,0,0,0,strong,strong,Synthetic Opioid Danger Awareness Act
H R 3743,424,2021,117,165,46,209,6,0,0,strong,strong,Supporting the Foundation for the National Institutes of Health and the Reagan-Udall Foundation for the Food and Drug Administration Act
H R 3894,425,2021,117,162,48,216,0,0,0,strong,strong,CARING for Social Determinants Act of 2021
H R 897,426,2021,117,180,30,215,0,0,0,strong,strong,Agua Caliente Land Exchange Fee to Trust Confirmation Act
H R 2074,427,2021,117,159,52,214,0,0,0,strong,strong,Indian Buffalo Management Act
H R 3531,428,2021,117,210,1,215,0,0,0,strong,strong,Women Who Worked on the Home Front World War II Memorial Act
H R 4706,429,2021,117,203,8,214,0,0,0,strong,strong,Blackwell School National Historic Site Act
H R 5677,430,2021,117,202,1,212,0,0,0,strong,strong,"To make technical amendments to update statutory references to certain provisions classified to title 2, United States Code, title 50, United States Code, and title 52, United States Code."
H R 5679,431,2021,117,205,2,213,0,0,0,strong,strong,"To make technical amendments to update statutory references to certain provisions classified to title 7, title 20, and title 43, United States Code."
H R 5695,432,2021,117,206,1,209,4,0,0,strong,strong,"To make technical amendments to update statutory references to certain provisions which were formerly classified to chapters 14 and 19 of title 25, United States Code."
H R 5705,433,2021,117,206,1,209,4,0,0,strong,strong,"To make technical amendments to update statutory references to provisions reclassified to title 34, United States Code."
H R 5314,440,2021,117,1,208,219,0,0,0,little,strong,Protecting Our Democracy Act
H R 5665,448,2021,117,0,212,219,0,0,0,none,strong,Combating International Islamophobia Act
H R 5746,9,2022,117,0,203,220,0,0,0,none,strong,Freedom to Vote: John R. Lewis Act
S 2959,10,2022,117,195,6,219,0,0,0,strong,strong,Supplemental Impact Aid Flexibility Act
S 452,11,2022,117,205,0,221,0,0,0,strong,strong,Willie O'Ree Congressional Gold Medal Act
H R 4673,14,2022,117,44,163,221,0,0,0,little,strong,Ensuring Veterans' Smooth Transition Act
H R 5577,15,2022,117,203,0,218,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 3900 Crown Road Southwest in Atlanta, Georgia, as the ""John R. Lewis Post Office Building""."
S 583,34,2022,117,205,5,221,0,0,0,strong,strong,PRICE Act of 2021
S 566,37,2022,117,211,0,221,0,0,0,strong,strong,"A bill to designate the facility of the United States Postal Service located at 42 Main Street in Slatersville, Rhode Island, as the ""Specialist Matthew R. Turcotte Post Office""."
H R 3076,38,2022,117,120,92,222,0,0,0,moderate,strong,Postal Service Reform Act of 2022
H R 6617,39,2022,117,51,161,221,1,0,0,little,strong,Further Additional Extending Government Funding Act
H R 2324,40,2022,117,208,1,220,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 2800 South Adams Street in Tallahassee, Florida, as the ""D. Edwina Stephens Post Office""."
H R 735,41,2022,117,203,4,219,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 502 East Cotati Avenue in Cotati, California, as the ""Arturo L. Ibleto Post Office Building""."
H R 3485,43,2022,117,6,206,221,0,0,0,little,strong,Global Respect Act
H R 3539,44,2022,117,200,1,217,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 223 West Chalan Santo Papa in Hagatna, Guam, as the ""Atanasio Taitano Perez Post Office""."
S 321,46,2022,117,202,0,220,0,0,0,strong,strong,"""Six Triple Eight"" Congressional Gold Medal Act of 2021"
H R 55,47,2022,117,201,3,221,0,0,0,strong,strong,Emmett Till Antilynching Act
H R 3967,57,2022,117,34,174,222,0,0,0,little,strong,Honoring our PACT Act of 2022
H R 5616,58,2022,117,171,33,219,0,0,0,strong,strong,DHS Basic Training Accreditation Improvement Act of 2021
S 658,59,2022,117,184,19,219,0,0,0,strong,strong,National Cybersecurity Preparedness Consortium Act of 2021
H R 5681,60,2022,117,173,27,214,6,0,0,strong,strong,Shadow Wolves Enhancement Act
H R 3113,71,2022,117,197,9,217,0,0,0,strong,strong,Modernizing Access to Our Public Land Act
H R 5001,72,2022,117,179,27,218,0,0,0,strong,strong,Upper Colorado and San Juan River Basins Recovery Act
H R 6434,77,2022,117,188,16,218,0,0,0,strong,strong,Japanese American World War II History Network Act
H R 963,81,2022,117,1,209,221,0,0,0,little,strong,FAIR Act of 2022
H R 2116,82,2022,117,14,189,221,0,0,0,little,strong,Creating a Respectful and Open World for Natural Hair Act of 2022
H R 1621,83,2022,117,191,12,214,0,0,0,strong,strong,Prohibiting Punishment of Acquitted Conduct Act of 2021
S 3294,84,2022,117,136,63,213,0,0,0,moderate,strong,A bill to obtain and direct the placement in the Capitol or on the Capitol Grounds of a statue to honor Associate Justice of the Supreme Court of the United States Sandra Day O'Connor and a statue to honor Associate Justice of the Supreme Court of the United States Ruth Bader Ginsburg.
H R 6865,85,2022,117,163,43,215,3,0,0,strong,strong,Coast Guard Authorization Act of 2022
H R 2954,86,2022,117,198,5,216,0,0,0,strong,strong,Securing a Strong Retirement Act of 2021
S 2629,87,2022,117,159,48,218,0,0,0,strong,strong,Better Cybercrime Metrics Act
H R 3359,88,2022,117,187,20,219,0,0,0,strong,strong,Homicide Victims' Families' Rights Act of 2021
H R 4738,89,2022,117,159,47,217,0,0,0,strong,strong,COVID–19 American History Project Act
H R 5706,90,2022,117,121,85,218,0,0,0,moderate,strong,Stop Sexual Assault and Harassment in Transportation Act
S 400,91,2022,117,197,4,220,0,0,0,strong,strong,"William T. Coleman, Jr. and Norman Y. Mineta Department of Transportation Headquarters Act"
H R 5673,92,2022,117,182,24,220,0,0,0,strong,strong,Safeguarding Tomorrow through Ongoing Risk Mitigation Technical Corrections Act
H R 5343,93,2022,117,189,17,220,0,0,0,strong,strong,FEMA Caseworker Accountability Act
H R 5547,94,2022,117,84,122,220,0,0,0,moderate,strong,CEDS Act
S 1226,96,2022,117,144,61,220,0,0,0,strong,strong,"A bill to designate the United States courthouse located at 1501 North 6th Street in Harrisburg, Pennsylvania, as the ""Sylvia H. Rambo United States Courthouse"", and for other purposes."
S 2126,97,2022,117,199,1,213,0,0,0,strong,strong,"A bill to designate the Federal Office Building located at 308 W. 21st Street in Cheyenne, Wyoming, as the ""Louisa Swain Federal Office Building"", and for other purposes."
H R 4521,100,2022,117,205,0,146,74,0,0,strong,moderate,United States Innovation and Competition Act of 2021
H R 3617,107,2022,117,3,202,217,2,0,0,little,strong,Marijuana Opportunity Reinvestment and Expungement Act
H R 5657,108,2022,117,126,75,217,0,0,0,moderate,strong,Medical Marijuana Research Act
H R 1916,109,2022,117,92,110,218,0,0,0,moderate,strong,Ensuring Lasting Smiles Act
H R 1218,110,2022,117,190,11,219,0,0,0,strong,strong,Data Mapping to Save Moms’ Lives Act
H R 2501,111,2022,117,199,6,219,0,0,0,strong,strong,Spectrum Coordination Act
H R 4476,112,2022,117,135,68,213,7,0,0,moderate,strong,DHS Trade and Economic Security Council Act of 2021
H R 5689,113,2022,117,163,41,220,0,0,0,strong,strong,Resilient AMERICA Act
H R 5641,114,2022,117,197,9,217,2,0,0,strong,strong,Small Project Efficient and Effective Disaster Recovery Act
H R 7276,121,2022,117,198,7,220,0,0,0,strong,strong,Ukraine Invasion War Crimes Deterrence and Accountability Act
H R 3807,123,2022,117,6,199,217,4,0,0,little,strong,Restaurant Revitalization Fund Replenishment Act of 2021
H R 7108,124,2022,117,199,3,221,0,0,0,strong,strong,Suspending Normal Trade Relations with Russia and Belarus Act
H R 6968,125,2022,117,194,7,219,2,0,0,strong,strong,Ending Importation of Russian Oil Act
S 497,126,2022,117,192,11,212,0,0,0,strong,strong,American Fisheries Advisory Committee Act
H R 7314,127,2022,117,192,3,202,0,0,0,strong,strong,AXIS Act
H R 7372,128,2022,117,197,9,217,0,0,0,strong,strong,Protecting Semiconductor Supply Chain Materials from Authoritarians Act
H R 496,129,2022,117,205,2,216,2,0,0,strong,strong,To oppose violations of religious freedom in Ukraine by Russia and armed groups commanded or otherwise supported by or acting on behalf of Russia.
H R 6930,130,2022,117,203,4,214,4,0,0,strong,strong,Asset Seizure for Ukraine Reconstruction Act
H R 923,131,2022,117,189,19,217,1,0,0,strong,strong,"To support the independence, sovereignty, and territorial integrity of the Republic of Georgia, and for other purposes."
H R 3344,133,2022,117,152,55,214,5,0,0,strong,strong,Transatlantic Telecommunications Security Act
H R 7311,134,2022,117,196,9,219,0,0,0,strong,strong,Countering Malign Russian Activities in Africa Act
H R 6089,136,2022,117,206,2,218,0,0,0,strong,strong,Stop Iranian Drones Act
H R 4693,137,2022,117,164,44,220,0,0,0,strong,strong,Global Malnutrition Prevention and Treatment Act of 2021
S 812,138,2022,117,206,0,219,0,0,0,strong,strong,"A bill to direct the Secretary of State to develop a strategy to regain observer status for Taiwan in the World Health Organization, and for other purposes."
S 3522,141,2022,117,196,10,221,0,0,0,strong,strong,Ukraine Democracy Defense Lend-Lease Act of 2022
H R 7691,145,2022,117,149,57,219,0,0,0,strong,strong,"Additional Ukraine Supplemental Appropriations Act, 2022"
H R 5324,151,2022,117,184,16,213,4,0,0,strong,strong,NWR Modernization Act of 2021
S 66,152,2022,117,198,4,214,3,0,0,strong,strong,South Florida Clean Coastal Waters Act of 2021
H R 7077,153,2022,117,165,37,214,0,0,0,strong,strong,Empowering the U.S. Fire Administration Act
S 1872,155,2022,117,202,0,216,0,0,0,strong,strong,United States Army Rangers Veterans of World War II Congressional Gold Medal Act
H R 5911,156,2022,117,115,88,214,0,0,0,moderate,strong,Fair Hiring in Banking Act
H R 5914,157,2022,117,154,48,217,0,0,0,strong,strong,Empowering States to Protect Seniors from Bad Actors Act
H R 7066,159,2022,117,202,2,216,0,0,0,strong,strong,Russia and Belarus Financial Sanctions Act of 2022
H R 7081,160,2022,117,146,56,216,0,0,0,strong,strong,Ukraine Comprehensive Debt Payment Relief Act of 2022
H R 6891,161,2022,117,201,2,215,0,0,0,strong,strong,Isolate Russian Government Officials Act of 2022
H R 6899,162,2022,117,202,2,215,0,0,0,strong,strong,Russia and Belarus SDR Exchange Prohibition Act of 2022
H R 224,164,2022,117,198,0,210,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 5302 Galveston Road in Houston, Texas, as the Vanessa Guillén Post Office Building."
H R 700,165,2022,117,172,25,208,1,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 303 East Mississippi Avenue in Elwood, Illinois, as the ""Lawrence M. 'Larry' Walsh Sr. Post Office""."
H R 5900,166,2022,117,196,0,205,1,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 2016 East 1st Street in Los Angeles, California, as the ""Marine Corps Reserve PVT Jacob Cruz Post Office""."
H R 6386,167,2022,117,195,0,209,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 450 West Schaumburg Road in Schaumburg, Illinois, as the ""Veterans of Iraq and Afghanistan Memorial Post Office Building""."
H R 903,172,2022,117,4,201,216,0,0,0,little,strong,Rights for the TSA Workforce Act of 2021
H R 92,174,2022,117,198,0,207,3,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 110 Johnson Street in Pickens, South Carolina, as the ""Specialist Four Charles Johnson Post Office""."
H R 207,175,2022,117,198,0,210,3,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 215 1st Avenue in Amory, Mississippi, as the Command Sergeant Major Lawrence E. Rabbit Kennedy Post Office Building."
H R 209,176,2022,117,196,0,210,4,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 305 Highway 15 North in Pontotoc, Mississippi, as the Lance Corporal Marc Lucas Tucker Post Office Building."
H R 3508,177,2022,117,196,0,212,3,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 39 West Main Street, in Honeoye Falls, New York, as the ""CW4 Christian J. Koch Memorial Post Office""."
H R 5129,182,2022,117,30,169,216,0,0,0,little,strong,Community Services Block Grant Modernization Act of 2022
H R 6824,183,2022,117,168,31,218,0,0,0,strong,strong,President’s Cup Cybersecurity Competition Act
H R 6825,184,2022,117,69,129,219,0,0,0,little,strong,Nonprofit Security Grant Program Improvement Act of 2022
H R 7309,193,2022,117,4,196,216,0,0,0,little,strong,Workforce Innovation and Opportunity Act of 2022
S 2520,194,2022,117,187,14,217,0,0,0,strong,strong,State and Local Government Cybersecurity Act of 2021
H R 6873,195,2022,117,173,26,215,0,0,0,strong,strong,Bombing Prevention Act of 2022
H R 6871,196,2022,117,186,11,212,4,0,0,strong,strong,DHS Acquisition Reform Act
H R 6868,197,2022,117,168,30,215,0,0,0,strong,strong,Cybersecurity Grants for Schools Act of 2022
S 3527,198,2022,117,195,2,217,0,0,0,strong,strong,"A bill to amend title 38, United States Code, to authorize the Secretary of Veterans Affairs to transfer the name of property of the Department of Veterans Affairs designated by law to other property of the Department."
S 1760,199,2022,117,169,22,215,0,0,0,strong,strong,"A bill to designate the community-based outpatient clinic of the Department of Veterans Affairs planned to be built in Oahu, Hawaii, as the ""Daniel Kahikina Akaka Department of Veterans Affairs Community-Based Outpatient Clinic""."
S 2514,200,2022,117,194,0,216,1,0,0,strong,strong,"A bill to rename the Provo Veterans Center in Orem, Utah, as the ""Col. Gail S. Halvorsen 'Candy Bomber' Veterans Center""."
H R 7500,201,2022,117,191,2,211,0,0,0,strong,strong,Fiscal Year 2022 Veterans Affairs Major Medical Facility Authorization Act
H R 5754,202,2022,117,197,0,214,1,0,0,strong,strong,Patient Advocate Tracker Act
H R 6604,203,2022,117,198,1,214,0,0,0,strong,strong,Veterans Eligible to Transfer School (VETS) Credit Act
S 2687,204,2022,117,192,6,212,0,0,0,strong,strong,Strengthening Oversight for Veterans Act of 2021
H R 7375,205,2022,117,182,15,215,0,0,0,strong,strong,"To direct the Secretary of Veterans Affairs to update the payment system of the Department of Veterans Affairs to allow for electronic fund transfer of educational assistance, administered by the Secretary, to a foreign institution of higher education."
H R 6376,206,2022,117,155,43,215,0,0,0,strong,strong,Student Veteran Work Study Modernization Act
H R 7153,207,2022,117,197,2,213,1,0,0,strong,strong,Department of Veterans Affairs Principles of Benefits Automation Act
H R 6531,211,2022,117,38,165,220,0,0,0,little,strong,Targeting Resources to Communities in Need Act of 2022
H R 5738,214,2022,117,201,0,219,0,0,0,strong,strong,Lactation Spaces for Veteran Moms Act
H R 7335,215,2022,117,199,0,218,0,0,0,strong,strong,MST Claims Coordination Act
H R 6961,216,2022,117,187,12,218,0,0,0,strong,strong,Dignity for MST Survivors Act
H R 7791,218,2022,117,194,9,220,0,0,0,strong,strong,Access to Baby Formula Act of 2022
H R 7790,220,2022,117,12,192,219,0,0,0,little,strong,"Infant Formula Supplemental Appropriations Act, 2022"
H R 350,221,2022,117,1,203,221,0,0,0,little,strong,Domestic Terrorism Prevention Act of 2022
H R 2992,222,2022,117,181,21,219,0,0,0,strong,strong,Traumatic Brain Injury and Post-Traumatic Stress Disorder Law Enforcement Training Act
H R 6943,223,2022,117,184,17,218,0,0,0,strong,strong,Public Safety Officer Support Act of 2022
H R 2724,224,2022,117,202,0,218,0,0,0,strong,strong,VA Peer Support Enhancement for MST Survivors Act
S 4089,225,2022,117,183,17,218,0,0,0,strong,strong,Veterans Rapid Retraining Assistance Program Restoration and Recovery Act of 2022
H R 6052,226,2022,117,190,11,217,0,0,0,strong,strong,Department of Veterans Affairs Office of Inspector General Training Act of 2021
S 2533,227,2022,117,201,0,218,0,0,0,strong,strong,Making Advances in Mammography and Medical Options for Veterans Act
S 2102,228,2022,117,200,0,218,0,0,0,strong,strong,Dr. Kate Hendricks Thomas SERVICE Act
H R 7688,232,2022,117,0,203,217,4,0,0,none,strong,Consumer Fuel Price Gouging Prevention Act
H R 6087,233,2022,117,113,81,212,2,0,0,moderate,strong,Improving Access to Workers’ Compensation for Injured Federal Workers Act
S 3823,234,2022,117,177,21,215,0,0,0,strong,strong,Bankruptcy Threshold Adjustment and Technical Corrections Act
H R 7910,245,2022,117,5,202,218,2,0,0,little,strong,Protecting Our Kids Act
H R 7352,246,2022,117,205,0,216,0,0,0,strong,strong,PPP and Bank Fraud Enforcement Harmonization Act of 2022
H R 7334,247,2022,117,203,0,213,3,0,0,strong,strong,COVID-19 EIDL Fraud Statute of Limitations Act of 2022
H R 5879,248,2022,117,144,61,215,0,0,0,strong,strong,Hubzone Price Evaluation Preference Clarification Act of 2021
H R 7622,249,2022,117,152,52,216,0,0,0,strong,strong,Small Business Workforce Pipeline Act of 2022
H R 7664,250,2022,117,188,15,211,3,0,0,strong,strong,Supporting Small Business and Career and Technical Education Act of 2022
H R 7670,251,2022,117,185,19,217,0,0,0,strong,strong,WOSB Program Transparency Act
H R 7694,252,2022,117,194,11,217,0,0,0,strong,strong,Strengthening Subcontracting for Small Businesses Act of 2022
H R 7776,253,2022,117,169,37,215,0,0,0,strong,strong,"An Act to authorize appropriations for fiscal year 2023 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes."
H R 7667,254,2022,117,176,28,216,0,0,0,strong,strong,Food and Drug Amendments of 2022
H R 2377,255,2022,117,5,201,219,1,0,0,little,strong,Federal Extreme Risk Protection Order Act of 2021
S 3580,256,2022,117,156,42,213,0,0,0,strong,strong,Ocean Shipping Reform Act of 2022
H R 6270,257,2022,117,123,73,215,0,0,0,moderate,strong,AAIM Act
H R 2020,258,2022,117,198,2,214,0,0,0,strong,strong,Post-Disaster Assistance Online Accountability Act
S 4160,261,2022,117,205,0,191,27,0,0,strong,strong,Supreme Court Police Parity Act of 2022
H R 2773,267,2022,117,16,188,215,2,0,0,little,strong,Recovering America’s Wildlife Act of 2021
S 516,268,2022,117,169,29,211,1,0,0,strong,strong,Advanced Air Mobility Coordination and Leadership Act
H R 7211,269,2022,117,184,14,212,0,0,0,strong,strong,Small State and Rural Rescue Act
H R 2543,275,2022,117,0,204,215,3,0,0,none,strong,Federal Reserve Racial and Economic Equity Act
H R 7606,277,2022,117,7,199,214,5,0,0,little,strong,Meat and Poultry Special Investigator Act of 2022
H R 7777,278,2022,117,153,47,215,0,0,0,strong,strong,Industrial Control Systems Cybersecurity Training Act
H R 7666,286,2022,117,184,20,218,0,0,0,strong,strong,Restoring Hope for Mental Health and Well-Being Act of 2022
H R 5585,288,2022,117,119,85,217,0,0,0,moderate,strong,ARPA–H Act
S 2089,290,2022,117,159,42,217,0,0,0,strong,strong,Keep Kids Fed Act of 2022
H R 5407,291,2022,117,187,16,218,0,0,0,strong,strong,Enhancing Mental Health and Suicide Prevention Through Campus Planning Act
H R 6493,292,2022,117,155,49,216,0,0,0,strong,strong,Campus Prevention and Recovery Services for Students Act of 2022
H R 4176,296,2022,117,2,201,218,0,0,0,little,strong,LGBTQI+ Data Inclusion Act
S 2938,299,2022,117,14,193,220,0,0,0,little,strong,Bipartisan Safer Communities Act
H R 521,301,2022,117,204,0,213,0,0,0,strong,strong,First Responder Fair RETIRE Act
H R 5271,302,2022,117,118,81,212,0,0,0,moderate,strong,"To designate the facility of the United States Postal Service located at 2245 Rosa L Parks Boulevard in Nashville, Tennessee, as the ""Thelma Harper Post Office Building""."
H R 7174,305,2022,117,193,16,217,0,0,0,strong,strong,National Computer Forensics Institute Reauthorization Act of 2022
H R 5274,306,2022,117,211,0,218,0,0,0,strong,strong,PREVENT ACT of 2021
H R 6538,307,2022,117,43,168,217,1,0,0,little,strong,Active Shooter Alert Act of 2022
S 3373,309,2022,117,123,88,219,0,0,0,moderate,strong,"An Act to improve health care and benefits for veterans exposed to toxic substances, and for other purposes."
H R 7900,350,2022,117,149,62,180,39,0,0,strong,strong,National Defense Authorization Act for Fiscal Year 2023
H R 1934,351,2022,117,190,20,215,0,0,0,strong,strong,Promoting United States International Leadership in 5G Act of 2021
H R 7337,356,2022,117,189,21,217,0,0,0,strong,strong,Access for Veterans to Records Act
H R 203,357,2022,117,169,35,217,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 4020 Broadway Street in Houston, Texas, as the Benny C. Martinez Post Office Building."
H R 8296,360,2022,117,0,209,219,1,0,0,none,strong,Women’s Health Protection Act of 2022
H R 8297,362,2022,117,3,205,220,0,0,0,little,strong,Ensuring Access to Abortion Act of 2022
H R 8351,363,2022,117,203,2,218,0,0,0,strong,strong,Formula Act
S 144,375,2022,117,164,41,215,0,0,0,strong,strong,Desert Sage Youth Wellness Center Access Improvement Act
H R 4404,376,2022,117,160,45,217,0,0,0,strong,strong,Kissimmee River Wild and Scenic River Act
H R 7025,377,2022,117,162,43,217,0,0,0,strong,strong,Advancing Human Rights-Centered International Conservation Act of 2022
H R 7693,378,2022,117,183,22,214,0,0,0,strong,strong,National Park Foundation Reauthorization Act of 2022
H R 8294,383,2022,117,0,207,220,0,0,0,none,strong,"Transportation, Housing and Urban Development, and Related Agencies Appropriations Act, 2023"
H R 8373,385,2022,117,8,195,220,0,0,0,little,strong,Right to Contraception Act
H R 6552,388,2022,117,183,20,218,0,0,0,strong,strong,Frederick Douglass Trafficking Victims Prevention and Protection Reauthorization Act of 2022
H R 7289,389,2022,117,142,61,217,1,0,0,strong,strong,Federal PFAS Research Evaluation Act
H R 7180,391,2022,117,134,69,216,0,0,0,moderate,strong,Brycen Gray and Ben Price COVID–19 Cognitive Research Act
H R 8454,392,2022,117,109,95,216,0,0,0,moderate,strong,Medical Marijuana and Cannabidiol Research Expansion Act
H R 7734,393,2022,117,135,69,214,1,0,0,moderate,strong,Timely Delivery of Bank Secrecy Act Reports Act
H R 6929,396,2022,117,36,174,218,1,0,0,little,strong,Susan Muffley Act of 2022
